rank	gene	degree
570	ENSMUSG00000089809	92
571	ENSMUSG00000077222	92
572	ENSMUSG00000104586	92
573	ENSMUSG00000005373	92
574	ENSMUSG00000054146	92
575	ENSMUSG00000085894	92
576	ENSMUSG00000041237	92
577	ENSMUSG00000031886	92
578	ENSMUSG00000015944	92
579	ENSMUSG00000070167	92
580	ENSMUSG00000090021	92
581	ENSMUSG00000047844	92
582	ENSMUSG00000058248	92
583	ENSMUSG00000019464	92
584	ENSMUSG00000064451	92
585	ENSMUSG00000042371	92
586	ENSMUSG00000027962	92
587	ENSMUSG00000118837	92
588	ENSMUSG00000059743	92
589	ENSMUSG00000055782	92
590	ENSMUSG00000038156	92
591	ENSMUSG00000036437	91
592	ENSMUSG00000038453	91
593	ENSMUSG00000086859	91
594	ENSMUSG00000031861	91
595	ENSMUSG00000064367	91
596	ENSMUSG00000028970	91
597	ENSMUSG00000075705	91
598	ENSMUSG00000041293	91
599	ENSMUSG00000040978	91
600	ENSMUSG00000049539	91
601	ENSMUSG00000038550	91
602	ENSMUSG00000044986	90
603	ENSMUSG00000120983	90
604	ENSMUSG00000027870	90
605	ENSMUSG00000056487	90
606	ENSMUSG00000059401	90
607	ENSMUSG00000077714	90
608	ENSMUSG00000067144	90
609	ENSMUSG00000042784	90
610	ENSMUSG00000075031	90
611	ENSMUSG00000059901	90
612	ENSMUSG00000020038	90
613	ENSMUSG00000035783	90
614	ENSMUSG00000029673	90
615	ENSMUSG00000027699	90
616	ENSMUSG00000062488	90
617	ENSMUSG00000105096	90
618	ENSMUSG00000029321	90
619	ENSMUSG00000032115	90
620	ENSMUSG00000080365	90
621	ENSMUSG00000064368	90
622	ENSMUSG00000106320	90
623	ENSMUSG00000069917	90
624	ENSMUSG00000029082	90
625	ENSMUSG00000079165	90
626	ENSMUSG00000006342	90
627	ENSMUSG00000117294	90
628	ENSMUSG00000079465	90
629	ENSMUSG00000105434	90
630	ENSMUSG00000019970	90
631	ENSMUSG00000026185	90
632	ENSMUSG00000022512	90
633	ENSMUSG00000028763	90
634	ENSMUSG00000034593	89
635	ENSMUSG00000047246	89
636	ENSMUSG00000069763	89
637	ENSMUSG00000052516	89
638	ENSMUSG00000025317	89
639	ENSMUSG00000112441	89
640	ENSMUSG00000055430	89
641	ENSMUSG00000017969	89
642	ENSMUSG00000085826	89
643	ENSMUSG00000036062	89
644	ENSMUSG00000022382	89
645	ENSMUSG00000120543	89
646	ENSMUSG00000039710	89
647	ENSMUSG00000033770	89
648	ENSMUSG00000109498	89
649	ENSMUSG00000034875	89
650	ENSMUSG00000028776	89
651	ENSMUSG00000110894	89
652	ENSMUSG00000074578	89
653	ENSMUSG00000031844	89
654	ENSMUSG00000065208	89
655	ENSMUSG00000020823	89
656	ENSMUSG00000001870	89
657	ENSMUSG00000039648	89
658	ENSMUSG00000026678	89
659	ENSMUSG00000072893	89
660	ENSMUSG00000003617	89
661	ENSMUSG00000102982	89
662	ENSMUSG00000020604	89
663	ENSMUSG00000020904	89
664	ENSMUSG00002076161	89
665	ENSMUSG00000119011	89
666	ENSMUSG00000065304	89
667	ENSMUSG00000065822	89
668	ENSMUSG00000030364	89
